VARIABLE NAME                  | ADDRESS 
SWARTEVSP                      | 0x0063
SYSFAIL                        | 0x0040
SYS_EVEN_TAKT                  | 0x0002
SZUENDVOR                      | 0x0064
TASK_1_TFLAG                   | 0x0005
TFE                            | 0x0045
TFLASTAB                       | 0x004B
TFLVERZZ                       | 0x004E
TIMEOUT                        | 0x0048
TKKB                           | 0x000B
TNACHFACK                      | 0x004D
TNBL                           | 0x004C
TST_RES_B_WD                   | 0x0006
TSZA                           | 0x004A
TWARTEVSP                      | 0x0049
TX_RETRY_FLAG                  | 0x0013
TZUENDSZA                      | 0x0049
TZUENDVOR                      | 0x004F
ThFrS_HZ                       | 0x002A
ThFrS_WW                       | 0x002C
WI_SO                          | 0x000A
WW_ANF                         | 0x0009
WW_TH                          | 0x000F
WW_Takten                      | 0x002E
ZUEND                          | 0x0059

--- SFR ---
ACC                            | 0x00E0
ADCON0                         | 0x00D8
ADCON1                         | 0x00DC
ADC_CHCTR0                     | 0x00CA
ADC_CHCTR1                     | 0x00CB
ADC_CHCTR2                     | 0x00CC
ADC_CHCTR3                     | 0x00CD
ADC_CHCTR4                     | 0x00CE
ADC_CHCTR5                     | 0x00CF
ADC_CHCTR6                     | 0x00D2
ADC_CHCTR7                     | 0x00D3
ADC_CHINCR                     | 0x00CB
ADC_CHINFR                     | 0x00CA
ADC_CHINPR                     | 0x00CD
ADC_CHINSR                     | 0x00CC
ADC_CRCR1                      | 0x00CA
ADC_CRMR1                      | 0x00CC
ADC_CRPR1                      | 0x00CB
ADC_ETRCR                      | 0x00CF
ADC_EVINCR                     | 0x00CF
ADC_EVINFR                     | 0x00CE
ADC_EVINPR                     | 0x00D3
ADC_EVINSR                     | 0x00D2
ADC_GLOBCTR                    | 0x00CA
ADC_GLOBSTR                    | 0x00CB
ADC_INPCR0                     | 0x00CE
ADC_LCBR                       | 0x00CD
ADC_PAGE                       | 0x00D1
ADC_PRAR                       | 0x00CC
ADC_Q0R0                       | 0x00CF
ADC_QBUR0                      | 0x00D2
ADC_QINR0                      | 0x00D2
ADC_QMR0                       | 0x00CD
ADC_QSR0                       | 0x00CE
ADC_RCR0                       | 0x00CA
