BtnReadProgHz1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz3,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgWW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgZirk,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnResetHistorie,,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),cbbxP371_FS2.Items,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),EGrpP396_FS2.Items,396 Legionellen-Solltemp#°C,cbbxP401_FS2.Items,0 (Aus) | 1 (WW Normal) | 2 (WW Maximal),CbbxExtRaumfuehler_FS2.Items,"--,""ext. Raumfühler | int. Raumfühler"",--,""Im Kessel",TfrmWCMFS1.HelpFile,stCollections,stCharSets,TfrmWCMFS1,RUSSIAN_CHARSET
BtnResetHistorieClick,TIB_STRINGLIST,Nederlands,Dansk,Swedish,Norwegian,Slovenski,Hrvatski,Magyar,Polski,Russian,Greece,Language,Deutsch,TranslationData,stCaptions
BtnWriteEndanwender,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_WW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz3,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
CbBxWWFrEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWMoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSaEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxWWSoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkDoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkFrAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkFrAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
