Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
GrpBoxIoParas,TEditGroup,A27 Zündleistung#kW,A32 Gebläsekorrektur Kaltstart#%,A33 Gebläsekorrektur Warmstart#%,+A34 Max. Gebläsekorrektur bei VK-Übertemp#%,A40 Ansteuerzeit UVW#s,&A41 Gebläsedrehzahl Nachbelüften#U/min,A43 max. Laufzeit Abgasklappe#s,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBoxIoParasDevice,TButton,Geräteparameter,,,,,,,,,,,,,
GrpBoxIoParasFile,TButton,Parameterdatei,,,,,,,,,,,,,
GrpBxFS,TLabel,5S52 Periodendauer Dosierpumpenansteuerung bei 15KW#ms,S53 Dosierpumpenhübe für 1l Öl,S54 Gebläseregler P-Anteil,S55 Gebläseregler I-Anteil#1/s,S56 Gebläseregleranpassung,S57 Gebläsestartsignal#%,)S58 Max. Abweichung Gemisch während 10s#%,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBxFSFile,TButton,Parameterdatei,,,,,,,,,,,,,
GrpBxFsDevice,TButton,Geräteparameter,,,,,,,,,,,,,
GrpBxHistoryDevice,TButton,Gerätehistorie,,,,,,,,,,,,,
GrpBxHistoryFile,TButton,Historiedatei,,,,,,,,,,,,,
GrpBxMenu,TEditGroup,EGrpMenu,Normaltemperatur-Sollwert#°C,Absenktemperatur-Sollwert#°C,#Umschalttemperatur Sommer/Winter#°C,WW-Sollwert Tag#°C,Raum-Normaltemperatur#°C,Raum-Absenktemperatur#°C,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBxMenuDevice,TButton,Geräteparameter,,,,,,,,,,,,,
GrpBxMenuFile,TButton,Parameterdatei,,,,,,,,,,,,,
GrpBxOutlets,TLabel,Ausgänge,lblUVW,I20 Stellung UV,,,,,,,,,,,
GrpBxPhaseAlarm,TLabel,Status,,,,,,,,,,,,,
GrpBxPumpensteuerung,TEditGroup,Pumpensteuerung,EGrpPumpe,PWM-Minwert#%,I22 PWM-Sollwert#%,PWM-Maxwert#%,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,,
GrpBxServiceDevice,TButton,Geräteparameter,,,,,,,,,,,,,
GrpBxServiceFile,TButton,Parameterdatei,,,,,,,,,,,,,
GrpBxSollIst,TEditGroup,I32: Vormischkammertemp.#°C,I33: Außentemperatur B1#°C,)I34: Warmwassertemperatur (Ausf. W) B3#°C,)I35: Auslauftemperatur (Ausf. K/P) B12#°C,I37: Zulufttemperatur#°C,I38: Pufferfühler B10#°C,I39: Weichenfühler B11#°C,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBxStatistic,TEditGroup,bei Wartungsintervall (P70)#h,I46: 1000*l Ölverbrauch,I47: l Ölverbrauch,I48: Anzahl Flammenausfälle,I49: Maximale VK-Temperatur,Anzahl Netz ein,Betriebstunden Kessel,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBxStatisticDevice,TButton,Gerätestatistik,,,,,,,,,,,,,
GrpBxStatisticFile,TButton,Statistikdatei,,,,,,,,,,,,,
GrpBxValues,TEditGroup,MaxLength,EditRight,EditWithColor,EGrpSetpoints,Soll-Drehzahl#U/min,I23: Ist-Drehzahl#U/min,Gebläse-PWM#%,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor
GrpBxWirkWA,TEditGroup,Wirksame Wärmeanforderung,EGrpWirkWA,VL-Sollwert#°C,WW-Sollwert#°C,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,,,
LblAbgasklappe,TComboBox,P11: Abgasklappe,,,,,,,,,,,,,
LblBetriebsartHZ,TLabel,Betriebsart Heizung,,,,,,,,,,,,,
LblBetriebsartWW,TComboBox,Betriebsart Warmwasser,,,,,,,,,,,,,
